WORK_ID,MP_NAME,CONSTITUENCY_NAME,WORK_CATEGORY,ACTIVITY_NAME,HYBRID_RISK_SCORE,FINAL_RISK_LEVEL,DETECTOR_AGREEMENT,DETECTOR_AGREEMENT_COUNT,INVESTIGATION_PRIORITY,RULE_SCORE,STATISTICAL_SCORE,ISOLATION_FOREST_SCORE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,ACTUAL_AMOUNT,DISBURSED_AMOUNT,COST_VS_PEER_MEDIAN,PEER_Z_SCORE,TRANSACTION_COUNT,VENDOR_COUNT,MAX_TRANSACTION_AMOUNT,RECOMMENDATION_DATE,SANCTION_DATE,COMPLETION_DATE,DAYS_RECOMMENDATION_TO_SANCTION,DAYS_SANCTION_TO_COMPLETION,SUMMARY,INVESTIGATION_GUIDANCE,DISCLAIMER,FINANCIAL_EVIDENCE,STATISTICAL_EVIDENCE,TRANSACTION_EVIDENCE,TIMELINE_EVIDENCE
198279,DR.MALLU RAVI,Unknown,Normal/Others,WS/MP18192/2025-2026/198279-Construction of rooms and halls in school and colleges,52.75,HIGH,STRONG,3,2,25.0,40.0,100.0,10000000.0,10000000.0,2966883.0,,40.0,,1,1,2966883.0,2025-05-09,2025-05-21,,,,The work shows sanctioned cost is 40.00x the peer median.,Prioritize for investigation and cross-check the underlying financial and implementation records.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 40.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-09"", ""sanction_date"": ""2025-05-21"", ""days"": null}]"
196895,DR.MALLU RAVI,Unknown,Normal/Others,WS/MP18192/2025-2026/196895-Construction of rooms and halls in school and colleges,52.65,HIGH,STRONG,3,2,33.0,40.0,90.34,10000000.0,10000000.0,,,40.0,,4,1,4245248.0,2025-05-05,2025-05-15,,,,The work shows sanctioned cost is 40.00x the peer median; 4 expenditure transactions.,Prioritize for investigation and cross-check the underlying financial and implementation records.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 40.0}]",[],"[{""type"": ""high_transaction_count"", ""severity"": ""medium"", ""finding"": ""Work contains multiple expenditure transactions"", ""transaction_count"": 4}]","[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-05"", ""sanction_date"": ""2025-05-15"", ""days"": null}]"
250877,VAMSI KRISHNA GADDAM,Unknown,Normal/Others,WS/MP18388/2025-2026/250877-Purchase of vans and buses for educational institutions,51.01,HIGH,STRONG,3,2,28.0,40.0,90.69,8000000.0,8000000.0,,,32.0,,1,1,2841850.0,2025-12-15,2025-12-16,,,,The work shows sanctioned cost is 32.00x the peer median.,Prioritize for investigation and cross-check the underlying financial and implementation records.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 32.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-12-15"", ""sanction_date"": ""2025-12-16"", ""days"": null}]"
200885,Asaduddin Owaisi,Unknown,Normal/Others,WS/MP762/2025-2026/200885-Construction of community centers and community halls,50.68,HIGH,STRONG,3,2,30.0,40.0,87.26,5120000.0,5120000.0,,,20.48,,2,1,3122542.0,2025-05-19,2025-07-11,,,,The work shows sanctioned cost is 20.48x the peer median; 2 expenditure transactions.,Prioritize for investigation and cross-check the underlying financial and implementation records.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 20.48}]",[],"[{""type"": ""multiple_transactions"", ""severity"": ""low"", ""finding"": ""Work contains multiple expenditure transactions"", ""transaction_count"": 2}]","[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-19"", ""sanction_date"": ""2025-07-11"", ""days"": null}]"
184093,VAMSI KRISHNA GADDAM,Unknown,Normal/Others,WS/MP18388/2025-2026/184093-Construction of buildings for community cultural activities,50.35,HIGH,STRONG,3,2,27.0,40.0,89.68,5000000.0,5000000.0,4989891.0,,20.0,,2,1,4296915.0,2025-03-20,2025-06-18,,,,The work shows sanctioned cost is 20.00x the peer median; 2 expenditure transactions.,Prioritize for investigation and cross-check the underlying financial and implementation records.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 20.0}]",[],"[{""type"": ""multiple_transactions"", ""severity"": ""low"", ""finding"": ""Work contains multiple expenditure transactions"", ""transaction_count"": 2}]","[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-03-20"", ""sanction_date"": ""2025-06-18"", ""days"": null}]"
200884,Asaduddin Owaisi,Unknown,Normal/Others,WS/MP762/2025-2026/200884-Providing supply pipelines for drinking water,50.07,HIGH,STRONG,3,2,25.0,40.0,91.08,5656600.0,5656600.0,5656600.0,,22.6264,,1,1,5656600.0,2025-05-19,2025-07-11,,,,The work shows sanctioned cost is 22.63x the peer median.,Prioritize for investigation and cross-check the underlying financial and implementation records.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 22.6264}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-19"", ""sanction_date"": ""2025-07-11"", ""days"": null}]"
305195,Asaduddin Owaisi,Unknown,Normal/Others,NA-Purchase of fire tenders for Government run institutions,49.28,MEDIUM,STRONG,3,3,28.0,40.0,84.92,13149854.0,13149854.0,,,52.599416,,0,0,0.0,2026-08-18,,,,,The work shows sanctioned cost is 52.60x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 52.599416}]",[],[],[]
239391,Asaduddin Owaisi,Unknown,Normal/Others,NA-Providing supply pipelines for drinking water,49.24,MEDIUM,STRONG,3,3,28.0,40.0,84.81,12522210.0,12522210.0,,,50.08884,,0,0,0.0,2025-10-02,,,,,The work shows sanctioned cost is 50.09x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 50.08884}]",[],[],[]
232923,Kishan Reddy Gangapuram,Unknown,Normal/Others,WS/MP765/2025-2026/232923-Construction of rooms and halls in school and colleges,48.6,MEDIUM,STRONG,3,3,30.0,40.0,80.34,3000000.0,3000000.0,,,12.0,,2,1,2218132.0,2025-09-11,2026-02-09,,,,The work shows sanctioned cost is 12.00x the peer median; 2 expenditure transactions.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 12.0}]",[],"[{""type"": ""multiple_transactions"", ""severity"": ""low"", ""finding"": ""Work contains multiple expenditure transactions"", ""transaction_count"": 2}]","[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-09-11"", ""sanction_date"": ""2026-02-09"", ""days"": null}]"
204089,DR.MALLU RAVI,Unknown,Normal/Others,WS/MP18192/2025-2026/204089-Construction of rooms and halls in school and colleges,48.05,MEDIUM,STRONG,3,3,28.0,40.0,80.83,10000000.0,10000000.0,,,40.0,,0,0,0.0,2025-05-27,2025-06-27,,,,The work shows sanctioned cost is 40.00x the peer median.,Review supporting records and monitor for additional anomaly signals.,This system identifies anomaly/risk candidates for investigation. It does not establish fraud or wrongdoing.,"[{""type"": ""extreme_peer_cost"", ""severity"": ""high"", ""finding"": ""Sanctioned cost is at least 10x the peer-group median"", ""ratio"": 40.0}]",[],[],"[{""type"": ""recommendation_to_sanction"", ""severity"": ""info"", ""finding"": ""Recommendation and sanction dates are available"", ""recommendation_date"": ""2025-05-27"", ""sanction_date"": ""2025-06-27"", ""days"": null}]"
