WORK_RECOMMENDATION_DTL_ID,RULE_SCORE,STATISTICAL_SCORE,ISOLATION_FOREST_SCORE,RULE_CONTRIBUTION,STATISTICAL_CONTRIBUTION,ML_CONTRIBUTION,HYBRID_RISK_SCORE,DETECTOR_AGREEMENT_COUNT,DETECTOR_AGREEMENT,FINAL_RISK_LEVEL,INVESTIGATION_PRIORITY,EVIDENCE_SUMMARY,RULE_RISK_LEVEL,RULE_ANOMALY_FLAG,RULE_REASON_CODES,RULE_REASONS,DATA_QUALITY_SCORE,STATISTICAL_RISK_LEVEL,STATISTICAL_ANOMALY_FLAG,STATISTICAL_REASON_CODES,STATISTICAL_REASONS,STATISTICAL_CONFIDENCE,ISOLATION_FOREST_RISK_LEVEL,ISOLATION_FOREST_ANOMALY_FLAG,ISOLATION_FOREST_REASON
198279,25.0,40.0,100.0,8.75,14.0,30.0,52.75,3,STRONG,HIGH,2,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
196895,33.0,40.0,90.34,11.549999999999999,14.0,27.102,52.65,3,STRONG,HIGH,2,RULE: Sanctioned cost is at least 5x the peer-group median | Work contains an unusually high number of expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|HIGH_TRANSACTION_COUNT|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work contains an unusually high number of expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
250877,28.0,40.0,90.69,9.799999999999999,14.0,27.206999999999997,51.01,3,STRONG,HIGH,2,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
200885,30.0,40.0,87.26,10.5,14.0,26.178,50.68,3,STRONG,HIGH,2,RULE: Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|MULTIPLE_TRANSACTIONS|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
184093,27.0,40.0,89.68,9.45,14.0,26.904,50.35,3,STRONG,HIGH,2,RULE: Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|MULTIPLE_TRANSACTIONS|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
200884,25.0,40.0,91.08,8.75,14.0,27.323999999999998,50.07,3,STRONG,HIGH,2,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
305195,28.0,40.0,84.92,9.799999999999999,14.0,25.476,49.28,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
239391,28.0,40.0,84.81,9.799999999999999,14.0,25.443,49.24,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,1.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,MEDIUM,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
232923,30.0,40.0,80.34,10.5,14.0,24.102,48.6,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|MULTIPLE_TRANSACTIONS|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
204089,28.0,40.0,80.83,9.799999999999999,14.0,24.249,48.05,3,STRONG,MEDIUM,3,RULE: Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded | STATISTICAL: Sanctioned cost is at least 10x the peer-group median | ML: Isolation Forest identified the work as highly unusual compared with the overall feature distribution | All three detection layers identify unusual behavior,MEDIUM,True,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,0.0,HIGH,True,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,HIGH,CRITICAL,True,Isolation Forest identified the work as highly unusual compared with the overall feature distribution
