WORK_ID,STATE_ID,STATE_NAME,CONSTITUENCY_ID,CONSTITUENCY,MP_ID,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,WORK_DESCRIPTION,WORK_STAGE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,ACTUAL_AMOUNT,TOTAL_FUND_DISBURSED_AMT,ACTUAL_TO_SANCTION_RATIO,DISBURSED_TO_SANCTION_RATIO,RECOMMENDED_TO_SANCTION_RATIO,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,PAYMENT_SUCCESS_COUNT,PAYMENT_IN_PROGRESS_COUNT,PAYMENTS_PER_30_DAYS,PAYMENTS_PER_100_DAYS,RECOMMENDATION_DATE,SANCTION_DATE,COMPLETION_DURATION_DAYS,PAYMENT_AFTER_REPORTED_COMPLETION_DAYS,COMPLETION_BEFORE_LAST_PAYMENT,PEER_COUNT,PEER_MEDIAN_SANCTION,PEER_MEAN_SANCTION,SANCTION_PEER_Z_SCORE,SANCTION_TO_PEER_MEDIAN,MISSING_FIELD_COUNT,ATTACH_ID,FILE_STATUS,RULE_CANDIDATE,RULE_SCORE,RULE_SEVERITY,STAT_CANDIDATE,STAT_SCORE,STAT_SEVERITY,ML_CANDIDATE,ML_PERCENTILE,ML_SEVERITY,INDEPENDENT_SIGNAL_COUNT,DETECTOR_AGREEMENT,HYBRID_RISK_SCORE,HYBRID_RISK_LEVEL,INVESTIGATION_PRIORITY,INVESTIGATION_CANDIDATE,PEER_DATA_SUFFICIENT,SCORE_REGIME,DATA_QUALITY_TIER,DETECTOR_EVIDENCE,FACTUAL_EVIDENCE,VERIFICATION_FLAGS,INVESTIGATION_SUMMARY
313337,33,Uttar Pradesh,434,SANT KABIR NAGAR,3042528,LAXMIKANT PAPPU NISHAD,Normal/Others,NA-Street lights,installation of high mask light at various places in Ram nagar block (list attached),Pending for Sanction,22800000.0,22800000.0,,,,,1.0,,,,,,,2026-09-08,,,,0,2163,21497.0,51645.46000924642,46.09164850179592,1060.6131088058798,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,96.67422524565382,LOW,2,TWO METHODS AGREE,92.9,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹22,800,000.00. Sanction amount: ₹22,800,000.00. Recommendation date: 2026-09-08. Peer-group size used by the feature set: 2,163. Peer median sanction amount: ₹21,497.00. Peer mean sanction amount: ₹51,645.46. Sanction peer z-score: 46.09. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | SANT KABIR NAGAR | MP: LAXMIKANT PAPPU NISHAD. Hybrid risk level: CRITICAL; hybrid score: 92.90; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
312966,33,Uttar Pradesh,454,MIRZAPUR,3019225,Smt Anupriya Patel,Normal/Others,NA-Lighting of public spaces,semi high mast installation in several places chhanbe block of district mirzapur vide letter number 900 DATED 25 AUGUST 2026 of PD DRDA Mirzapur,Pending for Sanction,26556660.0,26556660.0,,,,,1.0,,,,,,,2026-09-07,,,,0,915,190000.0,431757.0989010989,17.352033864417514,139.7718947368421,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,95.34573323000086,LOW,2,TWO METHODS AGREE,92.5,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹26,556,660.00. Sanction amount: ₹26,556,660.00. Recommendation date: 2026-09-07. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 17.35. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | MIRZAPUR | MP: Smt Anupriya Patel. Hybrid risk level: CRITICAL; hybrid score: 92.50; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
284190,33,Uttar Pradesh,495,SULTANPUR,3042530,RAMBHUAL NISHAD,Normal/Others,NA-Lighting of public spaces,kindly execute the work as per attachement list ,Pending for Sanction,25000000.0,25000000.0,,,,,1.0,,,,,,,2026-05-27,,,,0,915,190000.0,431757.0989010989,16.318107838447556,131.57894736842104,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,95.34573323000086,LOW,2,TWO METHODS AGREE,92.5,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹25,000,000.00. Sanction amount: ₹25,000,000.00. Recommendation date: 2026-05-27. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 16.32. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | SULTANPUR | MP: RAMBHUAL NISHAD. Hybrid risk level: CRITICAL; hybrid score: 92.50; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
298370,33,Uttar Pradesh,419,BARABANKI(SC),3042496,TANUJ PUNIA,Normal/Others,NA-Lighting of public spaces,Supply and installation of 50 highmast lights in many areas of Barabanki Lok Sabha,Pending for Sanction,10500000.0,10500000.0,,,,,1.0,,,,,,,2026-07-23,,,,0,915,190000.0,431757.0989010989,6.687278128321799,55.26315789473684,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,94.9965077451515,NONE,2,TWO METHODS AGREE,92.4,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹10,500,000.00. Sanction amount: ₹10,500,000.00. Recommendation date: 2026-07-23. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 6.69. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | BARABANKI(SC) | MP: TANUJ PUNIA. Hybrid risk level: CRITICAL; hybrid score: 92.40; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
300408,33,Uttar Pradesh,434,SANT KABIR NAGAR,3042528,LAXMIKANT PAPPU NISHAD,Normal/Others,NA-Lighting of public spaces,Vidhan Sabha Mehdawal me 92 sthano par Solar High Mast Light lgaye jane hetu,Pending for Sanction,9723940.0,9723940.0,,,,,1.0,,,,,,,2026-08-01,,,,0,915,190000.0,431757.0989010989,6.171822838332819,51.17863157894737,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,94.9965077451515,NONE,2,TWO METHODS AGREE,92.4,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹9,723,940.00. Sanction amount: ₹9,723,940.00. Recommendation date: 2026-08-01. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 6.17. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | SANT KABIR NAGAR | MP: LAXMIKANT PAPPU NISHAD. Hybrid risk level: CRITICAL; hybrid score: 92.40; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
290133,21,Maharashtra,250,NAGPUR,3019087,Nitin Jairam Gadkari,Normal/Others,NA-Construction of community centers and community halls,"Construction of Sant Ravidas Maharaj Community hall and Statue at Mouza-Babulkheda, Khasra No. 74/1, Nagpur.",Pending for Sanction,10000000.0,10000000.0,,,,,1.0,,,,,,,2026-06-29,,,,0,750,1000000.0,1131959.898395722,11.882008803476122,10.0,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,94.04020398595443,NONE,2,TWO METHODS AGREE,92.1,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹10,000,000.00. Sanction amount: ₹10,000,000.00. Recommendation date: 2026-06-29. Peer-group size used by the feature set: 750. Peer median sanction amount: ₹1,000,000.00. Peer mean sanction amount: ₹1,131,959.90. Sanction peer z-score: 11.88. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Maharashtra | NAGPUR | MP: Nitin Jairam Gadkari. Hybrid risk level: CRITICAL; hybrid score: 92.10; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
238085,18,Karnataka,184,BIDAR,3042360,SAGAR ESHWAR KHANDRE,Normal/Others,NA-Construction of community centers and community halls,Construction of Cultural Hall Near Amareshwar Temple,Pending for Sanction,10000000.0,10000000.0,,,,,1.0,,,,,,,2025-11-12,,,,0,679,500000.0,613711.0778443114,16.40441466518301,20.0,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,93.81631696279076,NONE,2,TWO METHODS AGREE,92.1,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹10,000,000.00. Sanction amount: ₹10,000,000.00. Recommendation date: 2025-11-12. Peer-group size used by the feature set: 679. Peer median sanction amount: ₹500,000.00. Peer mean sanction amount: ₹613,711.08. Sanction peer z-score: 16.40. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Karnataka | BIDAR | MP: SAGAR ESHWAR KHANDRE. Hybrid risk level: CRITICAL; hybrid score: 92.10; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
301697,33,Uttar Pradesh,470,AONLA,3042489,NEERAJ MAURYA,Normal/Others,NA-Lighting of public spaces,supply and installation of led semi high mast light at 44 different places block dataganj,Pending for Sanction,7462400.0,7462400.0,,,,,1.0,,,,,,,2026-08-06,,,,0,915,190000.0,431757.0989010989,4.669718933323315,39.27578947368421,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,93.30252494809456,NONE,2,TWO METHODS AGREE,91.9,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹7,462,400.00. Sanction amount: ₹7,462,400.00. Recommendation date: 2026-08-06. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 4.67. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | AONLA | MP: NEERAJ MAURYA. Hybrid risk level: CRITICAL; hybrid score: 91.90; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
298371,33,Uttar Pradesh,419,BARABANKI(SC),3042496,TANUJ PUNIA,Normal/Others,NA-Lighting of public spaces,supply and installation of 32 Highmast lights in various places of Barabanki Lok Sabha,Pending for Sanction,6720000.0,6720000.0,,,,,1.0,,,,,,,2026-07-23,,,,0,915,190000.0,431757.0989010989,4.176620452164876,35.36842105263158,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,92.94086129529168,NONE,2,TWO METHODS AGREE,91.8,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹6,720,000.00. Sanction amount: ₹6,720,000.00. Recommendation date: 2026-07-23. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 4.18. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | BARABANKI(SC) | MP: TANUJ PUNIA. Hybrid risk level: CRITICAL; hybrid score: 91.80; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
166142,5,Assam,30,BARPETA,3042295,PHANI BHUSAN CHOUDHURY,Normal/Others,NA-Construction of community centers and community halls,Construction of T.R.Phookan Smriti Rangamancha at Barpeta,Pending for Sanction,14000000.0,14000000.0,,,,,1.0,,,,,,,2025-01-18,,,,0,294,300000.0,518419.2439862543,15.321517590916203,46.66666666666666,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,92.88728149487643,NONE,2,TWO METHODS AGREE,91.8,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹14,000,000.00. Sanction amount: ₹14,000,000.00. Recommendation date: 2025-01-18. Peer-group size used by the feature set: 294. Peer median sanction amount: ₹300,000.00. Peer mean sanction amount: ₹518,419.24. Sanction peer z-score: 15.32. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Assam | BARPETA | MP: PHANI BHUSAN CHOUDHURY. Hybrid risk level: CRITICAL; hybrid score: 91.80; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
301701,33,Uttar Pradesh,470,AONLA,3042489,NEERAJ MAURYA,Normal/Others,NA-Lighting of public spaces,supply and installation of led semi high mast light at 36 different places block miaun,Pending for Sanction,6105600.0,6105600.0,,,,,1.0,,,,,,,2026-08-06,,,,0,915,190000.0,431757.0989010989,3.768538950516513,32.13473684210526,6,,,1,35.0,MEDIUM,1,35.0,MEDIUM,0,92.664351253863,NONE,2,TWO METHODS AGREE,91.7,CRITICAL,P1,1,1,STANDARD,LOW,Rule detector produced a candidate signal with score 35.0; Statistical detector produced a candidate signal with score 35.0.,"Recommended amount: ₹6,105,600.00. Sanction amount: ₹6,105,600.00. Recommendation date: 2026-08-06. Peer-group size used by the feature set: 915. Peer median sanction amount: ₹190,000.00. Peer mean sanction amount: ₹431,757.10. Sanction peer z-score: 3.77. Missing-field count: 6. Attachment identifier is not present in the available record.",1. Confirm findings against original government records and supporting documents.,"Uttar Pradesh | AONLA | MP: NEERAJ MAURYA. Hybrid risk level: CRITICAL; hybrid score: 91.70; detector agreement: TWO METHODS AGREE. This record is an investigation candidate requiring verification, not a finding of fraud or corruption."
