STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,ML_ANOMALY_RATE_PERCENT
Tripura,74,14,18.91891891891892
Manipur,87,13,14.942528735632186
Nagaland,56,8,14.285714285714285
Andaman And Nicobar Islands,29,4,13.793103448275861
Rajasthan,3459,392,11.332755131540907
Punjab,4415,449,10.169875424688561
Lakshadweep,30,3,10.0
Uttarakhand,933,82,8.788853161843516
Puducherry,82,7,8.536585365853659
Chandigarh,115,8,6.956521739130435
Jammu And Kashmir,1083,63,5.8171745152354575
Haryana,1889,68,3.5997882477501326
Assam,2290,72,3.14410480349345
Sikkim,128,4,3.125
Delhi,583,14,2.401372212692967
Chhattisgarh,2305,55,2.386117136659436
Arunachal Pradesh,303,7,2.31023102310231
Madhya Pradesh,7472,172,2.3019271948608138
Meghalaya,582,12,2.0618556701030926
Uttar Pradesh,16859,339,2.010795420843466
Kerala,4463,89,1.9941743222047952
Andhra Pradesh,3709,71,1.9142626044756001
Himachal Pradesh,1735,32,1.8443804034582134
Tamil Nadu,5868,106,1.8064076346284936
Jharkhand,4402,76,1.7264879600181735
Maharashtra,4861,72,1.4811767126105742
West Bengal,5741,83,1.4457411600766417
Odisha,5800,80,1.3793103448275863
Karnataka,4822,63,1.3065118208212358
Telangana,5288,66,1.248108925869894
Bihar,5872,50,0.8514986376021799
Gujarat,8544,38,0.4447565543071161
Goa,248,1,0.4032258064516129
Ladakh,55,0,0.0
Mizoram,271,0,0.0
The Dadra And Nagar Haveli And Daman And Diu,64,0,0.0
