WORK_ID,STATE_ID,STATE_NAME,CONSTITUENCY_ID,CONSTITUENCY,MP_ID,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,WORK_DESCRIPTION,WORK_STAGE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,TOTAL_FUND_DISBURSED_AMT,ACTUAL_AMOUNT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,FIRST_EXPENDITURE_DATE,LAST_EXPENDITURE_DATE,ACTUAL_END_DATE,PEER_COUNT,PEER_MEDIAN_SANCTION,PEER_MEAN_SANCTION,PEER_STD_SANCTION,SANCTION_TO_PEER_MEDIAN,SANCTION_PEER_Z_SCORE,RECOMMENDATION_TO_SANCTION_DAYS,SANCTION_TO_FIRST_PAYMENT_DAYS,COMPLETION_BEFORE_LAST_PAYMENT,DATA_COMPLETENESS_RATIO,RULE_FINANCIAL_SCORE,RULE_PAYMENT_SCORE,RULE_TIMELINE_SCORE,RULE_PAYMENT_STATUS_SCORE,RULE_DIVERSITY_BONUS,RULE_CATEGORY_COUNT,RULE_SCORE,RULE_SEVERITY,RULE_TRIGGER_COUNT,STRONG_RULE_COUNT,VERIFICATION_FLAG_COUNT,RULE_CANDIDATE,RULE_FLAGS,RULE_REASONS,RULE_VERIFICATION_NOTES,RULE_SANCTION_ABOVE_2X_PEER,RULE_SANCTION_ABOVE_5X_PEER,RULE_PEER_Z_ABOVE_3,RULE_PEER_Z_ABOVE_5,RULE_ACTUAL_ABOVE_SANCTION,RULE_DISBURSED_ABOVE_SANCTION,RULE_HIGH_PAYMENT_COUNT,RULE_VERY_HIGH_PAYMENT_COUNT,RULE_MULTIPLE_VENDORS,RULE_MANY_VENDORS,RULE_HIGH_PAYMENT_FREQUENCY,RULE_VERY_HIGH_PAYMENT_FREQUENCY,RULE_RECOMMENDATION_BEFORE_SANCTION_VIOLATION,RULE_PAYMENT_BEFORE_SANCTION,RULE_COMPLETION_BEFORE_LAST_PAYMENT,RULE_HIGH_IN_PROGRESS_RATIO,RULE_LOW_DATA_COMPLETENESS
227474,28,Rajasthan,334,AJMER,3019130,Bhagirath Chaudhary,Normal/Others,WS/MP719/2025-2026/227474-Construction of community centers and community halls,CONSTRUCTION OF COMMUNITY Hall NEAR VEER TEJAJI MAHARAJ TEMPLE BHOGADEET,Work Completed,495140.0,495140.0,494567.0,494567.0,14.0,14.0,2026-08-06,2026-08-13,2026-05-04,1,495140.0,495140.0,,1.0,,204.0,149.0,1,1.0,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,8,3,1,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_COMPLETION_BEFORE_LAST_PAYMENT | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | Reported completion date precedes the last recorded payment; verify because the dates may represent different administrative events. | More than half of the recorded payment transactions are currently marked as in progress.,Reported completion date precedes the last recorded payment; verify because the dates may represent different administrative events.,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0
147233,28,Rajasthan,353,BHILWARA,3042447,DAMODAR AGARWAL,Normal/Others,WS/MP18162/2024-2025/147233-Construction of community centers and community halls,RADAJI BAVJI KE PAAS CHHAYAGRAH NIRMAN VILL- ROOPPURA GP.- GOVLIYA PS.- SAHARA,Physical Inspection,500000.0,500000.0,499323.0,,16.0,16.0,2026-07-19,2026-09-07,,1,500000.0,500000.0,,1.0,,97.0,544.0,0,0.8181818181818181,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
178543,28,Rajasthan,353,BHILWARA,3042447,DAMODAR AGARWAL,Normal/Others,WS/MP18162/2025-2026/178543-Construction of community centers and community halls,Pakshi Ghar Nirman Kary TEJA JI KE STHAN ke pas Vill-Lambiya Khurd GP Lambiya Khurd PS Banera,Physical Inspection,500000.0,500000.0,491529.0,491529.0,11.0,10.0,2026-08-13,2026-08-24,,1,500000.0,500000.0,,1.0,,162.0,350.0,0,0.9090909090909092,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
186128,28,Rajasthan,353,BHILWARA,3042447,DAMODAR AGARWAL,Normal/Others,"WS/MP18162/2025-2026/186128-Construction of roads, link roads, pathways or any other road with or without drainage system",SC Mauhalle me CC Sadak may Nali Nirman Ward No.4 Sthit RA.U.Ma.Vi. Singoli se Anganwari kendra tak GP-Singoli PS-Mandalgarh,Work partially Completed,500000.0,500000.0,490910.0,,21.0,13.0,2026-08-08,2026-08-13,,1,500000.0,500000.0,,1.0,,40.0,457.0,0,0.8181818181818181,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
203736,28,Rajasthan,353,BHILWARA,3042447,DAMODAR AGARWAL,Normal/Others,WS/MP18162/2025-2026/203736-Construction of community centers and community halls,kabutarkhana nirman kary pani ki tanki ke pas Vill-Gajsinghpura GP-Jagpura PS-Badnor,Work partially Completed,500000.0,500000.0,499246.0,,10.0,10.0,2026-08-24,2026-09-09,,1,500000.0,500000.0,,1.0,,25.0,395.0,0,0.8181818181818181,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
241441,28,Rajasthan,353,BHILWARA,3042447,DAMODAR AGARWAL,Normal/Others,WS/MP18162/2025-2026/241441-Construction of community centers and community halls,Samudayik Bhawan Nirman S.C. Mohlla Vill-Mohanpura GP-Mohanpura PS-Mandalgarh,Physical Inspection,500000.0,500000.0,415244.0,,12.0,12.0,2026-08-04,2026-08-18,,1,500000.0,500000.0,,1.0,,86.0,211.0,0,0.8181818181818181,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
249915,28,Rajasthan,345,JALORE,3042451,LUMBARAM,Normal/Others,WS/MP18166/2025-2026/249915-Development of playground,Govt Sr Sec School Rajpura GP Rajpura PS Jaswantpura Dist Jalore Pray Place construction in school Ground,Work Completed,600000.0,600000.0,572375.0,572375.0,12.0,12.0,2026-07-10,2026-09-04,,1,600000.0,600000.0,,1.0,,54.0,177.0,0,0.9090909090909092,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
249920,28,Rajasthan,345,JALORE,3042451,LUMBARAM,Normal/Others,"WS/MP18166/2025-2026/249920-Construction of roads, link roads, pathways or any other road with or without drainage system",Interlocking Block Road Construction- Near Khaviji Bavasi Than Village Shivgarh GP Rajpura PS Jaswantpura Dist Jalore,Physical Inspection,500000.0,500000.0,474734.0,474734.0,12.0,12.0,2026-07-10,2026-09-04,,1,500000.0,500000.0,,1.0,,54.0,177.0,0,0.9090909090909092,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
144452,28,Rajasthan,339,UDAIPUR(ST),3042457,MANNA LAL RAWAT,Normal/Others,WS/MP18172/2025-2026/144452-Construction of common work sheds/ common covered sitting area,construction of teen shed in GSSS keshriyawad,Physical Inspection,500000.0,500000.0,489272.0,,20.0,11.0,2026-07-20,2026-08-27,,1,500000.0,500000.0,,1.0,,292.0,367.0,0,0.8181818181818181,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
269921,32,Uttarakhand,502,ALMORA(SC),3018414,Ajay Tamta,Normal/Others,WS/MP477/2026-2027/269921-Construction of footpaths and pedestrian ways,Gram Sabha Sirkot mai C.C. marge nirman  (Karydai Sanstha Vikaskhand Garud),Vendor Identification,100000.0,100000.0,95003.0,,17.0,16.0,2026-09-03,2026-09-05,,1,100000.0,100000.0,,1.0,,184.0,9.0,0,0.8181818181818181,0.0,30,0.0,5.0,0,1,35.0,MEDIUM,7,3,0,1,RULE_HIGH_PAYMENT_COUNT | RULE_VERY_HIGH_PAYMENT_COUNT | RULE_MULTIPLE_VENDORS | RULE_MANY_VENDORS | RULE_HIGH_PAYMENT_FREQUENCY | RULE_VERY_HIGH_PAYMENT_FREQUENCY | RULE_HIGH_IN_PROGRESS_RATIO,Work has at least 5 recorded payment transactions. | Work has at least 10 recorded payment transactions. | Work has payments associated with at least 5 vendors. | Work has payments associated with at least 10 vendors. | Payment activity exceeds 3 recorded payments per 30 expenditure days. | Payment activity exceeds 6 recorded payments per 30 expenditure days. | More than half of the recorded payment transactions are currently marked as in progress.,,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0
