BIN_LABEL,SCORE_MIN,SCORE_MAX,WORK_COUNT,CANDIDATE_COUNT,SIGNAL_1_COUNT,SIGNAL_2_COUNT,SIGNAL_3_COUNT
0-5,0,5,16980,0,0,0,0
5-10,5,10,17054,0,0,0,0
10-15,10,15,16997,29,29,0,0
15-20,15,20,16908,37,37,0,0
20-25,20,25,16768,202,202,0,0
25-30,25,30,13790,1233,1233,0,0
30-35,30,35,1619,1619,1602,17,0
35-40,35,40,534,534,400,134,0
40-45,40,45,1068,1068,567,501,0
45-50,45,50,448,448,241,207,0
50-55,50,55,262,262,36,225,1
55-60,55,60,271,271,104,135,32
60-65,60,65,290,290,0,289,1
65-70,65,70,661,661,0,129,532
70-75,70,75,150,150,0,119,31
75-80,75,80,116,116,0,116,0
80-85,80,85,69,69,0,69,0
85-90,85,90,437,437,0,437,0
90-95,90,95,95,95,0,95,0
95-100,95,100,0,0,0,0,0
100,100,100,0,0,0,0,0
