WORK_ID,STATE_ID,STATE_NAME,CONSTITUENCY_ID,CONSTITUENCY,MP_ID,MP_NAME,WORK_CATEGORY,ACTIVITY_NAME,WORK_DESCRIPTION,WORK_STAGE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,TOTAL_FUND_DISBURSED_AMT,ACTUAL_AMOUNT,PAYMENT_COUNT,UNIQUE_VENDOR_COUNT,FIRST_EXPENDITURE_DATE,LAST_EXPENDITURE_DATE,ACTUAL_END_DATE,STAT_PEER_GROUP,STAT_PEER_COUNT,STAT_PEER_Q1,STAT_PEER_MEDIAN,STAT_PEER_Q3,STAT_PEER_IQR,STAT_LOO_PEER_MEAN_SANCTION,STAT_SANCTION_TO_PEER_MEDIAN,STAT_FINANCIAL_SCORE,STAT_PAYMENT_BEHAVIOR_SCORE,STAT_PAYMENT_SUBSIGNAL_COUNT,STAT_PAYMENT_CORROBORATION_BONUS,STAT_TIMELINE_SCORE,STAT_CATEGORY_COUNT,STAT_DIVERSITY_BONUS,STAT_SCORE,STAT_SEVERITY,STAT_TRIGGER_COUNT,STAT_STRONG_RULE_COUNT,STAT_VERIFICATION_FLAG_COUNT,STAT_CANDIDATE,STAT_FLAGS,STAT_REASONS,STAT_VERIFICATION_NOTES,STAT_SANCTION_ABOVE_PEER_IQR,STAT_SANCTION_EXTREME_PEER_IQR,STAT_SANCTION_ABOVE_5X_PEER_MEDIAN,STAT_PAYMENT_COUNT_OUTLIER,STAT_PAYMENT_COUNT_EXTREME,STAT_VENDOR_COUNT_OUTLIER,STAT_VENDOR_COUNT_EXTREME,STAT_PAYMENT_FREQUENCY_OUTLIER,STAT_PAYMENT_FREQUENCY_EXTREME,STAT_COMPLETION_DURATION_OUTLIER,STAT_COMPLETION_DURATION_EXTREME,STAT_LOW_DATA_COMPLETENESS
275078,2,Andhra Pradesh,23,KURNOOL,3042287,BASTIPATI NAGARAJU PANCHALINGALA,Normal/Others,NA-Construction of community centers and community halls,Construction of Multi -Purpose Community Hall near PIR International school Kurnool-Bellary High Way in Alur (V and M) of Kurnool District.,Pending for Sanction,7000000.0,7000000.0,,,,,,,,Andhra Pradesh | Normal/Others | NA-Construction of community centers and community halls,28,500000.0,1000000.0,2000000.0,1500000.0,1403090.9090909092,7.0,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
303394,2,Andhra Pradesh,19,NARASARAOPET,3018945,Lavu Sri Krishna Devarayalu,Normal/Others,NA-Providing drains and gutters for public drainage,"Construction of Internal CC Drains in SC colony 
",Pending for Sanction,3200000.0,3200000.0,,,,,,,,Andhra Pradesh | Normal/Others | NA-Providing drains and gutters for public drainage,60,400000.0,500000.0,800000.0,400000.0,647218.1818181818,6.4,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
303768,2,Andhra Pradesh,19,NARASARAOPET,3018945,Lavu Sri Krishna Devarayalu,Normal/Others,NA-Providing drains and gutters for public drainage,"Construction of CC Drain from Village Entrance to SWPC shed in Rentapalla village 
",Pending for Sanction,3400000.0,3400000.0,,,,,,,,Andhra Pradesh | Normal/Others | NA-Providing drains and gutters for public drainage,60,400000.0,500000.0,800000.0,400000.0,643581.8181818182,6.8,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
286834,2,Andhra Pradesh,11,TIRUPATI(SC),3018946,Maddila Gurumoorthy,Normal/Others,NA-Improvement of electricity distribution infrastructure,Providing 160 KVA Transformer and its arrangements for Mini Lift Irrigation Scheme on TGP 5th Branch Canal at Kotambedu Village of Balayapalli Mandal in Tirupati District.,Pending for Sanction,1990000.0,1990000.0,,,,,,,,Andhra Pradesh | Normal/Others | NA-Improvement of electricity distribution infrastructure,17,244000.0,305000.0,400000.0,156000.0,346142.85714285716,6.524590163934426,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
166142,5,Assam,30,BARPETA,3042295,PHANI BHUSAN CHOUDHURY,Normal/Others,NA-Construction of community centers and community halls,Construction of T.R.Phookan Smriti Rangamancha at Barpeta,Pending for Sanction,14000000.0,14000000.0,,,,,,,,Assam | Normal/Others | NA-Construction of community centers and community halls,294,250000.0,300000.0,500000.0,250000.0,471931.0344827586,46.666666666666664,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
171193,5,Assam,33,DIBRUGARH,3042297,Shri Sarbananda Sonowal (18LS),Normal/Others,NA-Construction of community centers and community halls,"Construction of auditorium, Nagaon Tiniali at Hajuapathar gaon, Naharkotia",Pending for Sanction,2500000.0,2500000.0,,,,,,,,Assam | Normal/Others | NA-Construction of community centers and community halls,294,250000.0,300000.0,500000.0,250000.0,511586.2068965517,8.333333333333334,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
244711,5,Assam,35,Diphu (ST),3042298,AMARSING TISSO,Normal/Others,NA-Construction of community centers and community halls,"Construction of Community Hall cum Training Centre at Ar-eh Phirthak Aboha, Bura Teron gaon, Longnit",Pending for Sanction,2000000.0,2000000.0,,,,,,,,Assam | Normal/Others | NA-Construction of community centers and community halls,294,250000.0,300000.0,500000.0,250000.0,513310.3448275862,6.666666666666667,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
260148,5,Assam,36,KARIMGANJ (SC),3018957,Kripanath Mallah,Normal/Others,NA-Construction of boundary walls of existing public and community buildings,Construction of Boundary wall near Madhabdham at Malua Srigouri,Pending for Sanction,3000000.0,3000000.0,,,,,,,,Assam | Normal/Others | NA-Construction of boundary walls of existing public and community buildings,58,300000.0,300000.0,500000.0,200000.0,476508.77192982455,10.0,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
260159,5,Assam,36,KARIMGANJ (SC),3018957,Kripanath Mallah,Normal/Others,NA-Construction of community centers and community halls,Construction of Community Hall Near Bara Bazar shiv mandir at Dullabcherra ,Pending for Sanction,2000000.0,2000000.0,,,,,,,,Assam | Normal/Others | NA-Construction of community centers and community halls,294,250000.0,300000.0,500000.0,250000.0,513310.3448275862,6.666666666666667,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
260161,5,Assam,36,KARIMGANJ (SC),3018957,Kripanath Mallah,Normal/Others,NA-Construction of rooms and halls in school and colleges,"Construction of Additional Class room (1st floor) at SS College, Hailakandi (Phase I)",Pending for Sanction,4000000.0,4000000.0,,,,,,,,Assam | Normal/Others | NA-Construction of rooms and halls in school and colleges,19,400000.0,500000.0,1000000.0,600000.0,772222.2222222222,8.0,35,0,0,0,0,1,0,35,MEDIUM,4,1,1,1,STAT_SANCTION_ABOVE_PEER_IQR | STAT_SANCTION_EXTREME_PEER_IQR | STAT_SANCTION_ABOVE_5X_PEER_MEDIAN | STAT_LOW_DATA_COMPLETENESS,Sanction amount exceeds the robust 1.5×IQR upper boundary of comparable works. | Sanction amount exceeds the robust 3×IQR upper boundary of comparable works. | Sanction amount is more than 5x the leave-one-out peer median.,Data completeness is within the lowest 10% of the observed dataset; verify source completeness.,1,1,1,0,0,0,0,0,0,0,0,1
