FEATURE,ANOMALY_COUNT,NORMAL_COUNT,ANOMALY_MEDIAN,NORMAL_MEDIAN,MEDIAN_RATIO,ANOMALY_MEAN,NORMAL_MEAN,ABS_MEDIAN_RATIO_DISTANCE
PAYMENT_AFTER_REPORTED_COMPLETION_DAYS,155,343,7.0,2.0,3.5,30.12258064516129,11.151603498542274,2.5
PAYMENT_COUNT,2574,52410,2.0,1.0,2.0,5.109168609168609,1.3197672199961838,1.0
COMPLETION_DURATION_DAYS,369,1551,321.0,189.0,1.6984126984126984,309.0487804878049,211.1418439716312,0.6984126984126984
SANCTION_AMOUNT,2613,101384,550000.0,325000.0,1.6923076923076923,1620833.8794871795,517657.8308313935,0.6923076923076923
RECOMMENDED_AMOUNT,2598,101547,550000.0,325000.0,1.6923076923076923,1621776.8283679753,518408.36250219104,0.6923076923076923
ACTUAL_AMOUNT,1303,32327,499666.0,299041.0,1.6708946264893443,1345982.352340752,459672.80657963926,0.6708946264893443
TOTAL_FUND_DISBURSED_AMT,2574,52410,499556.0,299999.0,1.665192217307391,1346992.4907148406,457249.8368889525,0.665192217307391
DATA_COMPLETENESS_RATIO,2613,101904,0.8181818181818181,0.8181818181818181,1.0,0.8717252896357375,0.6903377867226196,0.0
UNIQUE_VENDOR_COUNT,2574,52410,1.0,1.0,1.0,3.5473970473970473,1.0719519175729824,0.0
SANCTION_TO_PEER_MEDIAN,2613,101384,1.0,1.0,1.0,1.0,20.83450842611619,0.0
PEER_COUNT,2613,101904,1.0,1.0,1.0,1.0,104.02182446223897,0.0
