STATE_NAME,TOTAL_WORKS,ML_ANOMALIES,MEDIAN_SANCTION,MEAN_SANCTION,MEDIAN_PAYMENT_COUNT,MEAN_PAYMENT_COUNT,MEDIAN_VENDOR_COUNT,MEAN_VENDOR_COUNT,MEDIAN_COMPLETENESS,MEDIAN_PEER_COUNT,ML_ANOMALY_RATE_PERCENT,INDIA_RATE_RATIO
Tripura,74,14,1913500.0,2779114.8378378376,1.0,1.3333333333333333,1.0,1.0769230769230769,0.8181818181818181,1.0,18.91891891891892,7.567350358395134
Manipur,87,13,1879510.0,2582937.9146341463,2.0,1.8289473684210527,1.0,1.0,0.8181818181818181,1.0,14.942528735632186,5.976839938239836
Nagaland,56,8,600000.0,2625000.0,1.5,1.5,1.0,1.0,0.9090909090909092,1.0,14.285714285714285,5.714121699196325
Andaman And Nicobar Islands,29,4,2592551.0,2745372.5172413792,1.0,1.0,1.0,1.0,0.4545454545454546,1.0,13.793103448275861,5.517083019913694
Rajasthan,3459,392,500000.0,613666.9681112737,1.0,3.8395217117684077,1.0,3.3467589679043424,0.5454545454545454,1.0,11.332755131540907,4.5329719406171485
Punjab,4415,449,243000.0,310556.8095238095,1.0,3.079796880667392,1.0,1.9873050417120057,0.8181818181818181,1.0,10.169875424688561,4.067833408963545
Lakshadweep,30,3,292500.0,3172378.3333333335,1.0,1.0,1.0,1.0,0.8181818181818181,1.0,10.0,3.9998851894374283
Uttarakhand,933,82,250000.0,323280.1617161716,1.0,3.5140845070422535,1.0,3.2347417840375585,0.5454545454545454,1.0,8.788853161843516,3.515440359419819
Puducherry,82,7,1925000.0,2045941.5657894737,1.0,1.35,1.0,1.15,0.4545454545454546,1.0,8.536585365853659,3.414536137324634
Chandigarh,115,8,500000.0,693656.6283185841,1.0,2.480769230769231,1.0,2.0576923076923075,0.5454545454545454,1.0,6.956521739130435,2.782528827434733
Jammu And Kashmir,1083,63,300000.0,482936.04950092424,1.0,1.105603448275862,1.0,1.0387931034482758,0.5454545454545454,1.0,5.8171745152354575,2.3268030187863156
Haryana,1889,68,400000.0,506935.53607696417,1.0,1.462200956937799,1.0,1.182775119617225,0.8181818181818181,1.0,3.5997882477501326,1.4398739697286667
Assam,2290,72,500000.0,645355.2168199737,2.0,2.043512658227848,1.0,1.0759493670886076,0.8181818181818181,1.0,3.14410480349345,1.2576058237532526
Sikkim,128,4,500000.0,1161171.296875,1.0,1.4814814814814814,1.0,1.4814814814814814,0.5,1.0,3.125,1.2499641216991964
Delhi,583,14,650852.0,998374.9461921097,1.0,1.0200803212851406,1.0,1.0040160642570282,0.5454545454545454,1.0,2.401372212692967,0.9605213147877185
Chhattisgarh,2305,55,499582.0,506289.0243161094,2.0,1.5910290237467017,1.0,1.0174142480211081,0.8181818181818181,1.0,2.386117136659436,0.9544194595186921
Arunachal Pradesh,303,7,500000.0,765846.2323232323,1.0,1.5062240663900415,1.0,1.3278008298755186,0.9090909090909092,1.0,2.31023102310231,0.9240658853485808
