FEATURE,ANOMALY_COUNT,NORMAL_COUNT,ANOMALY_MEDIAN,NORMAL_MEDIAN,MEDIAN_RATIO,MEDIAN_DIFFERENCE_PERCENT,ANOMALY_MEAN,NORMAL_MEAN,ANOMALY_P95,NORMAL_P95,ANOMALY_P99,NORMAL_P99,NORMAL_STD,STANDARDIZED_DIFFERENCE,ABS_STANDARDIZED_DIFFERENCE
MULTIPLE_PAYMENTS,2613,101904,1.0,0.0,,,0.6142365097588978,0.12463691317318261,1.0,1.0,1.0,1.0,0.3303083766707776,3.0274739323269184,3.0274739323269184
COMPLETION_YEAR,369,1551,2026.0,2025.0,1.0004938271604937,0.04938271604938272,2025.728997289973,2025.4719535783365,2026.0,2026.0,2026.0,2026.0,0.49937378892914003,2.0025079853398107,2.0025079853398107
FIRST_PAYMENT_YEAR,2574,52410,2026.0,2025.0,1.0004938271604937,0.04938271604938272,2025.598679098679,2025.4539591680978,2026.0,2026.0,2026.0,2026.0,0.5475257568713927,1.8263980962541058,1.8263980962541058
PAYMENT_COUNT,2574,52410,2.0,1.0,2.0,100.0,5.109168609168609,1.3197672199961838,18.0,2.0,27.0,5.0,0.7788296413834951,1.2839778391377388,1.2839778391377388
PAYMENT_SUCCESS_COUNT,2574,52410,2.0,1.0,2.0,100.0,4.597513597513598,1.2853081473001335,18.0,2.0,27.0,5.0,0.8009657024291384,1.248492909206022,1.248492909206022
COMPLETION_DURATION_DAYS,369,1551,321.0,189.0,1.6984126984126984,69.84126984126983,309.0487804878049,211.1418439716312,590.1999999999999,406.0,605.64,517.0,110.01040066468273,1.1998865489304296,1.1998865489304296
RECOMMENDATION_TO_COMPLETION_DAYS,369,1551,321.0,189.0,1.6984126984126984,69.84126984126983,309.0487804878049,211.1418439716312,590.1999999999999,406.0,605.64,517.0,110.01040066468273,1.1998865489304296,1.1998865489304296
PAYMENTS_PER_30_DAYS,1312,11224,2.760762173606211,0.5172413793103449,5.337473535638674,433.7473535638674,15.978722785116965,0.893872705256673,67.9821428571429,2.418520578420469,253.3500000000015,6.0,2.002400929678418,1.1204153778814774,1.1204153778814774
PAYMENTS_PER_100_DAYS,1312,11224,9.202540578687369,1.7241379310344829,5.337473535638674,433.7473535638674,53.262409283723215,2.9795756841889105,226.607142857143,8.061735261401564,844.500000000005,20.0,6.674669765594726,1.1204153778814772,1.1204153778814772
SANCTION_TO_COMPLETION_DAYS,369,1551,189.0,110.0,1.7181818181818183,71.81818181818181,195.9810298102981,123.94390715667312,480.39999999999986,295.0,539.0,371.0,92.30562181852697,0.8558525303617384,0.8558525303617384
ATTACH_ID,962,23658,2156335.5,1940319.0,1.111330404948877,11.133040494887696,2035888.4833679833,1911504.1641305266,2428006.15,2394027.85,2436720.42,2432254.58,334503.1728506306,0.6457831121872804,0.6457831121872804
DISBURSED_PER_EXPENDITURE_DAY,1312,11224,11344.069309507286,3061.2244897959185,3.70572930777238,270.57293077723796,68753.06779809548,7252.4058870776935,285642.4475449109,24693.276311475423,951954.8100000017,63336.499926470664,15259.554101059073,0.542797303568425,0.542797303568425
DISBURSED_TO_SANCTION_RATIO,2574,52410,0.9474940051800051,1.0,0.9474940051800051,-5.250599481999485,0.8195949635930794,0.9467949985500487,1.0,1.0,1.0,1.0,0.1348664838703968,-0.3893183340528975,0.3893183340528975
REMAINING_SANCTION_RATIO,2574,52410,0.0525059948199948,0.0,,,0.1804050364069206,0.05320500144995131,0.6,0.4056782192056806,0.8118958683333333,0.5383585569088489,0.1348664838703968,0.3893183340528971,0.3893183340528971
TOTAL_FUND_DISBURSED_AMT,2574,52410,499556.0,299999.0,1.665192217307391,66.5192217307391,1346992.4907148406,457249.8368889525,5000000.0,1384086.95,11079737.749999994,2477434.0899999947,518588.0681033602,0.3848083137158222,0.3848083137158222
PEER_MEDIAN_DISBURSED,2574,52410,499556.0,299999.0,1.665192217307391,66.5192217307391,1346992.4907148406,457249.8368889525,5000000.0,1384086.95,11079737.749999994,2477434.0899999947,518588.0681033602,0.3848083137158222,0.3848083137158222
DISBURSED_TO_RECOMMENDED_RATIO,2559,52179,0.9487966666666666,1.0,0.9487966666666666,-5.120333333333338,0.8199465946055974,0.9468103488611572,1.0,1.0,1.0,1.0,0.1349452297614254,-0.3794378906453946,0.3794378906453946
ACTUAL_AMOUNT,1303,32327,499666.0,299041.0,1.6708946264893443,67.08946264893443,1345982.352340752,459672.80657963926,4999120.2,1399871.3999999994,11581697.120000005,2480985.099999999,538388.2999191596,0.3726399701295967,0.3726399701295967
REMAINING_SANCTION_AMOUNT,2574,52410,36843.0,0.0,,,286080.18104118103,29579.7430234688,1310290.5499999996,200000.0,4323694.28,500000.0,103979.4456744892,0.3543296442966058,0.3543296442966058
STATE_TOTAL_SANCTIONED,2613,101904,2095672696.1,2919426496.0,0.7178371159442953,-28.216288405570467,2909230762.271875,3601931191.453745,8287522507.18,8287522507.18,8287522507.18,8287522507.18,2375801593.348837,-0.3467266804627692,0.3467266804627692
STATE_TOTAL_RECOMMENDED,2613,101904,2121543696.1,2922640316.0,0.7258996888825507,-27.41003111174492,2917789390.824879,3608376531.4624004,8296217507.18,8296217507.18,8296217507.18,8296217507.18,2377507214.6570783,-0.3369481341471121,0.3369481341471121
PEER_MEDIAN_SANCTION,2613,101835,550000.0,335000.0,1.6417910447761195,64.17910447761194,1620833.8794871795,494528.2459599351,6000000.0,1390174.9999999995,13358617.600000022,2500000.0,654387.7290587192,0.32855139308504316,0.32855139308504316
SANCTION_TO_FIRST_PAYMENT_DAYS,2574,52410,105.0,73.0,1.4383561643835616,43.83561643835616,137.8073038073038,102.62427017744706,400.0,308.0,507.0799999999999,430.0,103.26616188930215,0.3098788549370405,0.3098788549370405
RECOMMENDATION_MONTH,2613,101904,6.0,7.0,0.8571428571428571,-14.285714285714285,6.338691159586682,6.493847150259067,12.0,12.0,12.0,12.0,3.230766031804923,-0.3095241160008522,0.3095241160008522
SANCTION_AMOUNT,2613,101384,550000.0,325000.0,1.6923076923076923,69.23076923076923,1620833.8794871795,517657.8308313935,6000000.0,1500000.0,13358617.600000022,2953219.969999967,748080.4916546608,0.3007697734535599,0.3007697734535599
RECOMMENDED_AMOUNT,2598,101547,550000.0,325000.0,1.6923076923076923,69.23076923076923,1621776.8283679753,518408.36250219104,6000000.0,1500000.0,13416822.400000222,2980118.2599999984,748696.5307101517,0.3005222954440347,0.3005222954440347
RECOMMENDATION_TO_FIRST_PAYMENT_DAYS,2574,52410,217.5,181.0,1.201657458563536,20.165745856353592,244.01476301476302,202.60891051326084,532.0,443.0,638.81,550.0,126.34116238836975,0.28890030224512153,0.28890030224512153
