FEATURE,ANOMALY_AVAILABLE_PERCENT,NORMAL_AVAILABLE_PERCENT,AVAILABILITY_GAP_PERCENT
PEER_STD_SANCTION,0.0,26.09907363793374,-26.09907363793374
SANCTION_PEER_Z_SCORE,0.0,25.28556288271314,-25.28556288271314
ABS_PEER_COST_Z_SCORE,0.0,25.28556288271314,-25.28556288271314
RECOMMENDED_AMOUNT,99.42594718714122,99.64967027790863,-0.22372309076740748
MP_AVG_SANCTION_AMOUNT,100.0,100.0,0.0
MP_MEDIAN_SANCTION_AMOUNT,100.0,100.0,0.0
FLAG,100.0,100.0,0.0
HOUSE_OF_PARLIAMENT,100.0,100.0,0.0
STATE_TOTAL_SANCTIONED,100.0,100.0,0.0
STATE_WORK_COUNT,100.0,100.0,0.0
STATE_TOTAL_RECOMMENDED,100.0,100.0,0.0
CONSTITUENCY_WORK_COUNT,100.0,100.0,0.0
MP_TOTAL_DISBURSED,100.0,100.0,0.0
PEER_COUNT,100.0,100.0,0.0
CONSTITUENCY_TOTAL_SANCTIONED,100.0,100.0,0.0
MP_TOTAL_RECOMMENDED,100.0,100.0,0.0
MP_WORK_COUNT,100.0,100.0,0.0
STATE_AVG_WORK_COST,100.0,100.0,0.0
MP_TOTAL_SANCTIONED,100.0,100.0,0.0
CONSTITUENCY_TOTAL_DISBURSED,100.0,100.0,0.0
HAS_ACTUAL_END_DATE,100.0,100.0,0.0
IS_COMPLETED,100.0,100.0,0.0
HAS_ACTUAL_AMOUNT,100.0,100.0,0.0
VENDOR_COUNT_GE_5,100.0,100.0,0.0
NO_PAYMENT_RECORD,100.0,100.0,0.0
PAYMENT_COUNT_GE_5,100.0,100.0,0.0
MULTIPLE_VENDORS,100.0,100.0,0.0
MULTIPLE_PAYMENTS,100.0,100.0,0.0
CATEGORY_WORK_COUNT,100.0,100.0,0.0
ACTIVITY_WORK_COUNT,100.0,100.0,0.0
CONSTITUENCY_AVG_SANCTION,100.0,100.0,0.0
STATE_TOTAL_DISBURSED,100.0,100.0,0.0
PAYMENT_COUNT_GE_10,100.0,100.0,0.0
COMPLETION_BEFORE_LAST_PAYMENT,100.0,100.0,0.0
NEGATIVE_SANCTION_TO_PAYMENT,100.0,100.0,0.0
NEGATIVE_RECOMMENDATION_TO_SANCTION,100.0,100.0,0.0
DATA_COMPLETENESS_RATIO,100.0,100.0,0.0
MISSING_FIELD_COUNT,100.0,100.0,0.0
VENDOR_COUNT_GE_10,100.0,100.0,0.0
TOTAL_DISBURSED_ABOVE_5M,100.0,100.0,0.0
RECOMMENDATION_MONTH,100.0,100.0,0.0
SANCTION_ABOVE_2X_PEER_MEDIAN,100.0,100.0,0.0
SANCTION_ABOVE_5X_PEER_MEDIAN,100.0,100.0,0.0
DISBURSED_ABOVE_2X_PEER_MEDIAN,100.0,100.0,0.0
DISBURSED_ABOVE_SANCTION,100.0,100.0,0.0
RECOMMENDATION_YEAR,100.0,100.0,0.0
ACTUAL_ABOVE_SANCTION,100.0,100.0,0.0
AVERAGE_PAYMENT_ABOVE_1M,100.0,100.0,0.0
PEER_MEDIAN_SANCTION,100.0,99.9322892133773,0.06771078662269758
PEER_MEAN_SANCTION,100.0,99.9322892133773,0.06771078662269758
SANCTION_TO_RECOMMENDED_RATIO,99.42594718714122,99.13938608886795,0.2865610982732676
RECOMMENDED_TO_SANCTION_DIFFERENCE,99.42594718714122,99.13938608886795,0.2865610982732676
SANCTION_AMOUNT,100.0,99.48971581095934,0.5102841890406609
SANCTION_TO_PEER_MEDIAN,100.0,99.48971581095934,0.5102841890406609
PAYMENT_AFTER_REPORTED_COMPLETION_DAYS,5.931879066207425,0.33659130161720835,5.595287764590217
LAST_PAYMENT_TO_COMPLETION_DAYS,13.968618446230385,1.5220207253886011,12.446597720841783
RECOMMENDATION_TO_COMPLETION_DAYS,14.121699196326063,1.5220207253886011,12.599678470937462
COMPLETION_YEAR,14.121699196326063,1.5220207253886011,12.599678470937462
SANCTION_TO_COMPLETION_DAYS,14.121699196326063,1.5220207253886011,12.599678470937462
COMPLETION_DURATION_DAYS,14.121699196326063,1.5220207253886011,12.599678470937462
ATTACH_ID,36.81592039800995,23.215967969853978,13.599952428155973
DISBURSED_MINUS_ACTUAL,48.37351703023345,31.675891034699326,16.697625995534125
ACTUAL_VS_DISBURSED_RATIO,48.37351703023345,31.675891034699326,16.697625995534125
ACTUAL_MINUS_DISBURSED,48.37351703023345,31.675891034699326,16.697625995534125
ACTUAL_TO_RECOMMENDED_RATIO,49.63643321852277,31.602292353587693,18.034140864935075
ACTUAL_TO_SANCTION_RATIO,49.866054343666285,31.72299419061077,18.143060153055515
AVERAGE_RATING,49.866054343666285,31.72299419061077,18.143060153055515
ACTUAL_AMOUNT,49.866054343666285,31.72299419061077,18.143060153055515
ACTUAL_MINUS_SANCTION,49.866054343666285,31.72299419061077,18.143060153055515
SANCTION_YEAR,100.0,73.2944732297064,26.705526770293602
RECOMMENDATION_TO_SANCTION_DAYS,100.0,73.2944732297064,26.705526770293602
PAYMENTS_PER_100_DAYS,50.21048603138155,11.014287957293138,39.196198074088414
PAYMENTS_PER_30_DAYS,50.21048603138155,11.014287957293138,39.196198074088414
DISBURSED_PER_EXPENDITURE_DAY,50.21048603138155,11.014287957293138,39.196198074088414
DISBURSED_TO_RECOMMENDED_RATIO,97.93340987370837,51.204074422986345,46.729335450722026
PEER_MEDIAN_DISBURSED,98.50746268656717,51.43075836081017,47.076704325757
DISBURSED_TO_PEER_MEDIAN,98.50746268656717,51.43075836081017,47.076704325757
PAYMENT_IN_PROGRESS_RATIO,98.50746268656717,51.43075836081017,47.076704325757
PAYMENTS_PER_VENDOR,98.50746268656717,51.43075836081017,47.076704325757
SANCTION_TO_FIRST_PAYMENT_DAYS,98.50746268656717,51.43075836081017,47.076704325757
PAYMENT_IN_PROGRESS_COUNT,98.50746268656717,51.43075836081017,47.076704325757
PAYMENT_SUCCESS_COUNT,98.50746268656717,51.43075836081017,47.076704325757
RECOMMENDATION_TO_FIRST_PAYMENT_DAYS,98.50746268656717,51.43075836081017,47.076704325757
PAYMENT_COUNT,98.50746268656717,51.43075836081017,47.076704325757
EXPENDITURE_DURATION_DAYS,98.50746268656717,51.43075836081017,47.076704325757
DISBURSED_TO_SANCTION_RATIO,98.50746268656717,51.43075836081017,47.076704325757
REMAINING_SANCTION_AMOUNT,98.50746268656717,51.43075836081017,47.076704325757
UNIQUE_VENDOR_COUNT,98.50746268656717,51.43075836081017,47.076704325757
TOTAL_FUND_DISBURSED_AMT,98.50746268656717,51.43075836081017,47.076704325757
UNIQUE_VENDOR_NAME_COUNT,98.50746268656717,51.43075836081017,47.076704325757
AVERAGE_PAYMENT_AMOUNT,98.50746268656717,51.43075836081017,47.076704325757
