WORK_RECOMMENDATION_DTL_ID,WORK_ID,WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,WORK_STAGE,LETTER_NO,CONSTITUENCY,FILE_STATUS,IA_NAME,VENDOR_NAME,WORK_STATUS,CONSTITUENCY_ID,_MP_ID,VENDOR_ID,RECOMMENDATION_DATE,SANCTION_DATE,ACTUAL_END_DATE,TENURE_START_DATE,TENURE_END_DATE,RECOMMENDED_AMOUNT,SANCTION_AMOUNT,ACTUAL_AMOUNT,IS_RECOMMENDED,IS_SANCTIONED,IS_COMPLETED,HAS_EXPENDITURE_RECORD,RECOMMENDED_RECORD_COUNT,SANCTIONED_RECORD_COUNT,COMPLETED_RECORD_COUNT,EXPENDITURE_RECORD_COUNT,RECOMMENDATION_TO_SANCTION_RATIO,ACTUAL_TO_SANCTION_RATIO,SANCTION_MINUS_RECOMMENDED,SANCTION_MINUS_ACTUAL,RECOMMENDATION_TO_SANCTION_DAYS,SANCTION_TO_COMPLETION_DAYS,RECOMMENDATION_TO_COMPLETION_DAYS,MISSING_SANCTION_AMOUNT,MISSING_ACTUAL_AMOUNT,MISSING_RECOMMENDATION_DATE,MISSING_SANCTION_DATE,TOTAL_DISBURSED,TRANSACTION_COUNT,AVERAGE_TRANSACTION_AMOUNT,MAX_TRANSACTION_AMOUNT,MIN_TRANSACTION_AMOUNT,VENDOR_COUNT,EXPENDITURE_DATE_COUNT,INVALID_RECOMMENDATION_SANCTION_ORDER,INVALID_SANCTION_COMPLETION_ORDER,INVALID_RECOMMENDATION_COMPLETION_ORDER,NEGATIVE_TIMELINE_FLAG,DISBURSEMENT_TO_SANCTION_RATIO,UNSPENT_AMOUNT,SANCTION_DEVIATION,ACTUAL_DEVIATION,MISSING_COMPLETION_DATE,MISSING_RECOMMENDED_AMOUNT,LOG_RECOMMENDED_AMOUNT,LOG_SANCTION_AMOUNT,LOG_ACTUAL_AMOUNT,LOG_TOTAL_DISBURSED,PEER_MEDIAN_SANCTION,PEER_MEAN_SANCTION,PEER_STD_SANCTION,PEER_COUNT,PEER_LEVEL,COST_VS_PEER_MEDIAN,COST_Z_SCORE,PEER_GROUP_RELIABLE_FLAG,TRANSACTION_AMOUNT_VARIATION,MULTIPLE_VENDOR_FLAG,MULTIPLE_TRANSACTION_FLAG,SINGLE_TRANSACTION_FLAG,HIGH_TRANSACTION_COUNT_FLAG,NO_EXPENDITURE_RECORD_FLAG,NO_VENDOR_INFORMATION_FLAG,ACTUAL_EXCEEDS_SANCTION_FLAG,DISBURSEMENT_EXCEEDS_SANCTION_FLAG,SANCTION_BELOW_RECOMMENDED_FLAG,NEGATIVE_SANCTION_AMOUNT_FLAG,NEGATIVE_ACTUAL_AMOUNT_FLAG,NEGATIVE_DISBURSEMENT_FLAG,HIGH_COST_VS_PEER_FLAG,EXTREME_COST_VS_PEER_FLAG,HIGH_COST_Z_SCORE_FLAG,EXTREME_COST_Z_SCORE_FLAG,RECOMMENDED_NOT_SANCTIONED_FLAG,SANCTIONED_NOT_COMPLETED_FLAG,SANCTIONED_WITHOUT_EXPENDITURE_FLAG,COMPLETED_WITHOUT_EXPENDITURE_FLAG,DATA_COMPLETENESS_SCORE,RULE_SCORE,DATA_QUALITY_SCORE,RULE_RISK_LEVEL,RULE_REASON_CODES,RULE_REASONS,RULE_ANOMALY_FLAG,STATISTICAL_SCORE,STATISTICAL_CONFIDENCE,STATISTICAL_RISK_LEVEL,STATISTICAL_REASON_CODES,STATISTICAL_REASONS,STATISTICAL_ANOMALY_FLAG
198279,158499,Normal/Others,WS/MP18192/2025-2026/198279-Construction of rooms and halls in school and colleges,Telangana,2.0,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),18th Lok Sabha,DR.MALLU RAVI,Construction of Class Rooms and Toilets for Mandal Parishath Upper Primary School at Desitikyal Nagarkurnool District,Work Completed,LN/MP18192/2025-2026/4,NAGARKURNOOL(SC),True,"District Panchayat Raj Engineer,Nagarkurnool",Varkala Venkat Reddy,Payment Success,410.0,3043284,78657.0,2025-05-09,2025-05-21,,2024-06-04,2029-06-03 23:59:59,10000000.0,10000000.0,2966883.0,1,1,1,1,1,1,1,1,1.0,0.2966883,0.0,7033117.0,12.0,,,0,0,0,0,2966883.0,1,2966883.0,2966883.0,2966883.0,1,0,0,0,0,0,0.2966883,7033117.0,0.0,-7033117.0,1,0,16.118095750958314,16.118095750958314,14.903022801777958,14.903022801777958,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,40.0,18.60265122364217,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.8333333333333334,25.0,0.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
156313,WS/MP18193/2024-2025/156313,Normal/Others,WS/MP18193/2024-2025/156313-Construction of additional rooms and halls in the existing public and community building,Telangana,2.0,MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),18th Lok Sabha,EATALA RAJENDER,"Construction of Additional Floor to the existing Community Hall at Ward No.1, Harithavanam Colony, Nizampet Municipal Corporation, Medchal_malkajgiri Dist.",Physical Inspection,LN/MP18193/2024-2025/32,MALKAJGIRI,,EXECUTIVE ENGINEER R AND B,Venna Kasi Reddy,Payment Success,411.0,3042481,73452.0,2024-12-01,2025-03-12,,2024-06-04,2029-06-03 23:59:59,3000000.0,3000000.0,,1,1,0,1,1,1,0,1,1.0,,0.0,,101.0,,,0,1,0,0,2959799.0,1,2959799.0,2959799.0,2959799.0,1,0,0,0,0,0,0.9865996666666668,40201.0,0.0,,1,0,14.914123179965662,14.914123179965662,,14.900632256449883,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,12.0,5.095852659838855,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0.6666666666666666,28.0,0.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
200884,146748,Normal/Others,WS/MP762/2025-2026/200884-Providing supply pipelines for drinking water,Telangana,2.0,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),18th Lok Sabha,Asaduddin Owaisi,"Laying of 900mm dia and 600mm dia Np-3 pipe line and CC road restoration from H.No. 17-4-387, Ashoorkhana Hazrat-e-Ameer Muqtar to H.No. 17-4-313 A and bylanes in Matha Kidiki Nala, Yakutpura Assembly Constituency",Physical Inspection,LN/MP762/2025-2026/7,HYDERABAD,True,TELANGANA STATE COOPERATIVE RURAL IRRIGATION CORPORATION LIMITED,A F Construction op by Ismail,Payment Success,400.0,3019173,7108.0,2025-05-19,2025-07-11,,2024-06-04,2029-06-03 23:59:59,5656600.0,5656600.0,5656600.0,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,53.0,,,0,0,0,0,5656600.0,1,5656600.0,5656600.0,5656600.0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,1,0,15.548333739753645,15.548333739753645,15.548333739753645,15.548333739753645,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,22.6264,10.22187566906741,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.8333333333333334,25.0,0.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
196895,WS/MP18192/2025-2026/196895,Normal/Others,WS/MP18192/2025-2026/196895-Construction of rooms and halls in school and colleges,Telangana,2.0,WANAPARTHY(DISTRICT COLLECTOR WANAPARTHY_IDA),18th Lok Sabha,DR.MALLU RAVI,Construction of Social Welfare Girls College Hostel A in Wanaparthy Town,Physical Inspection,LN/MP18192/2025-2026/3,NAGARKURNOOL(SC),,"District Panchayat Raj Engineer, Wanaparthy",PRAGATHI CONSTRUCITONS,Payment Success,410.0,3043284,65673.0,2025-05-05,2025-05-15,,2024-06-04,2029-06-03 23:59:59,10000000.0,10000000.0,,1,1,0,1,1,1,0,4,1.0,,0.0,,10.0,,,0,1,0,0,9968364.0,4,2492091.0,4245248.0,1451220.0,1,0,0,0,0,0,0.9968364,31636.0,0.0,,1,0,16.118095750958314,16.118095750958314,,16.114927136513938,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,40.0,18.60265122364217,1,1.7034883557622895,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0.6666666666666666,33.0,0.0,MEDIUM,EXTREME_PEER_COST|HIGH_TRANSACTION_COUNT|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work contains an unusually high number of expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
200885,WS/MP762/2025-2026/200885,Normal/Others,WS/MP762/2025-2026/200885-Construction of community centers and community halls,Telangana,2.0,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),18th Lok Sabha,Asaduddin Owaisi,"Construction of Multipurpose Community Hall in 1sr Floor at Press Colony, Champapet in Yakutpura, Assembly Constituency",Vendor Identification,LN/MP762/2025-2026/7,HYDERABAD,,TELANGANA STATE COOPERATIVE RURAL IRRIGATION CORPORATION LIMITED,A F Construction op by Ismail,Payment Success,400.0,3019173,7108.0,2025-05-19,2025-07-11,,2024-06-04,2029-06-03 23:59:59,5120000.0,5120000.0,,1,1,0,1,1,1,0,2,1.0,,0.0,,53.0,,,0,1,0,0,4607245.0,2,2303622.5,3122542.0,1484703.0,1,0,0,0,0,0,0.8998525390625,512755.0,0.0,,1,0,15.448665192328171,15.448665192328171,,15.343140839497044,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,20.48,9.186483082019288,1,1.3554920565327002,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0.6666666666666666,30.0,0.0,MEDIUM,EXTREME_PEER_COST|MULTIPLE_TRANSACTIONS|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
226250,,Normal/Others,WS/MP18192/2025-2026/226250-Construction of community centers and community halls,Telangana,2.0,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),18th Lok Sabha,DR.MALLU RAVI,Construction of Community Hall,Pending for Sanction,LN/MP18192/2025-2026/14,NAGARKURNOOL(SC),,,,,410.0,3043284,,2025-08-11,2025-09-09,,2024-06-04,2029-06-03 23:59:59,5000000.0,5000000.0,,1,1,0,0,1,1,0,0,1.0,,0.0,,29.0,,,0,1,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5000000.0,0.0,,1,0,15.424948670398354,15.424948670398354,,0.0,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,20.0,8.95493796378266,1,,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0.6666666666666666,28.0,0.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
232923,WS/MP765/2025-2026/232923,Normal/Others,WS/MP765/2025-2026/232923-Construction of rooms and halls in school and colleges,Telangana,2.0,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),18th Lok Sabha,Kishan Reddy Gangapuram,Additional Rooms at Police Lines high School for rooms in 2nd floor,Vendor Identification,LN/MP765/2025-2026/18,SECUNDERABAD,,TELANGANA STATE COOPERATIVE RURAL IRRIGATION CORPORATION LIMITED,Medoju Venugopal,Payment Success,401.0,3019176,92813.0,2025-09-11,2026-02-09,,2024-06-04,2029-06-03 23:59:59,3000000.0,3000000.0,,1,1,0,1,1,1,0,2,1.0,,0.0,,151.0,,,0,1,0,0,2998390.0,2,1499195.0,2218132.0,780258.0,1,0,0,0,0,0,0.9994633333333334,1610.0,0.0,,1,0,14.914123179965662,14.914123179965662,,14.913586369420882,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,12.0,5.095852659838855,1,1.4795486911309068,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0.6666666666666666,30.0,0.0,MEDIUM,EXTREME_PEER_COST|MULTIPLE_TRANSACTIONS|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work contains multiple expenditure transactions | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
232919,WS/MP765/2025-2026/232919,Normal/Others,WS/MP765/2025-2026/232919-Construction of community centers and community halls,Telangana,2.0,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),18th Lok Sabha,Kishan Reddy Gangapuram,"Construction of Community Hall (ground floor) at Maruthinagar colony, Shaikpet Division",Vendor Identification,LN/MP765/2025-2026/18,SECUNDERABAD,,TELANGANA STATE COOPERATIVE RURAL IRRIGATION CORPORATION LIMITED,K Ravinder Civil Contractor,Payment In-Progress,401.0,3019176,7035.0,2025-09-11,2026-02-09,,2024-06-04,2029-06-03 23:59:59,3000000.0,3000000.0,,1,1,0,1,1,1,0,1,1.0,,0.0,,151.0,,,0,1,0,0,1358865.0,1,1358865.0,1358865.0,1358865.0,1,0,0,0,0,0,0.452955,1641135.0,0.0,,1,0,14.914123179965662,14.914123179965662,,14.122161086358622,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,12.0,5.095852659838855,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0.6666666666666666,28.0,0.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
156766,,Normal/Others,NA-Construction of community centers and community halls,Telangana,2.0,WARANGAL(District Collector Warangal_IDA),18th Lok Sabha,KADIYAM KAVYA,"Construction of Community Hall in Pochammaidan SC Colony, Ward No.22, GWMC, Warangal District",Pending for Sanction,LN/MP18389/2024-2025/4,WARANGEL(SC),,,,,408.0,3045246,,2024-12-04,,,2024-06-04,2029-06-03 23:59:59,5000000.0,5000000.0,,1,0,0,0,1,0,0,0,1.0,,0.0,,,,,0,1,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,5000000.0,0.0,,1,0,15.424948670398354,15.424948670398354,,0.0,500000.0,591533.3291139241,648798.3812655304,236,STATE_CATEGORY_ACTIVITY,10.0,6.794817616972207,1,,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0.5,28.0,1.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
161368,WS/MP18393/2024-2025/161368,Normal/Others,"WS/MP18393/2024-2025/161368-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,2.0,SANGAREDDY(District Collector Sangareddy_IDA),18th Lok Sabha,MADHAVANENI RAGHUNANDAN RAO,Laying of BT Road in Tellapur Municipality,Physical Inspection,LN/MP18393/2024-2025/27,MEDAK,,DISTRICT PANCHAYATH RAJ ENGINEER PIU DIVISION SANGAREDDY,SRI SAI BALAJI CONSTRUCTIONS,Payment Success,405.0,3045387,86652.0,2024-12-24,2025-03-21,,2024-06-04,2029-06-03 23:59:59,2500000.0,2500000.0,,1,1,0,1,1,1,0,1,1.0,,0.0,,87.0,,,0,1,0,0,2451095.0,1,2451095.0,2451095.0,2451095.0,1,1,0,0,0,0,0.980438,48905.0,0.0,,1,0,14.731801689838347,14.731801689838347,,14.712045829429874,250000.0,359036.0106157113,518257.5254182885,5180,STATE_CATEGORY,10.0,4.131081333852904,1,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.6666666666666666,28.0,0.0,MEDIUM,EXTREME_PEER_COST|SANCTIONED_NO_EXPENDITURE|SANCTIONED_NOT_COMPLETED,Sanctioned cost is at least 5x the peer-group median | Work is sanctioned but no expenditure has been recorded | Work is sanctioned but completion has not been recorded,True,40.0,HIGH,HIGH,PEER_RATIO_SEVERE,Sanctioned cost is at least 10x the peer-group median,True
